importance,node,type
0.00020185874933056596,UBERON:0005413,Anatomy
0.00018889558135752203,UBERON:4300186,Anatomy
0.00018810494083522903,UBERON:0001536,Anatomy
0.00018517220564626984,UBERON:0013076,Anatomy
0.0001716129173465465,UBERON:0001406,Anatomy
0.00016457436777441982,UBERON:0006912,Anatomy
0.00016370524550482612,UBERON:0001969,Anatomy
0.00015872518039156792,UBERON:0022262,Anatomy
0.00015570872074132294,UBERON:5012138,Anatomy
0.00015138743566150623,UBERON:0008522,Anatomy
0.00014541630924123547,UBERON:0000179,Anatomy
0.000144198925874014,UBERON:0011250,Anatomy
0.00013937391172605707,UBERON:0002591,Anatomy
0.00013923735273603196,UBERON:0001974,Anatomy
0.00013855682693047388,UBERON:0001075,Anatomy
0.00013701177594869368,UBERON:0001126,Anatomy
0.00013558017759567723,UBERON:0009673,Anatomy
0.00013438504237792755,UBERON:0005045,Anatomy
0.00013250323987676083,UBERON:4300090,Anatomy
0.0001313394235646189,UBERON:2001885,Anatomy
0.00018022043766219656,GO:0048302,BiologicalProcess
0.00017756593841339365,GO:0061737,BiologicalProcess
0.00017408656302027466,GO:0051586,BiologicalProcess
0.00015754981725257848,GO:1901162,BiologicalProcess
0.00015207907034368759,GO:0038188,BiologicalProcess
0.00014584898755784506,GO:0010911,BiologicalProcess
0.0001457270464436662,GO:1902523,BiologicalProcess
0.0001388031714585801,GO:0019242,BiologicalProcess
0.00013860669822407556,GO:0097398,BiologicalProcess
0.00013777201530035046,GO:1901877,BiologicalProcess
0.00013469586031224847,GO:0010881,BiologicalProcess
0.00013422207079103507,GO:0015862,BiologicalProcess
0.00013398417071313378,GO:2000170,BiologicalProcess
0.00012836097795673921,GO:0006530,BiologicalProcess
0.00012401696789400926,GO:0071955,BiologicalProcess
0.00012175526753730802,GO:0099541,BiologicalProcess
0.00012098219884598972,GO:0000416,BiologicalProcess
0.00011937707610299545,GO:0018963,BiologicalProcess
0.00011890747446636713,GO:0098664,BiologicalProcess
0.00011762192615887843,GO:1900170,BiologicalProcess
0.000101795999760143,GO:1905286,CellularComponent
9.525964217327165e-05,GO:1904602,CellularComponent
8.800411871039998e-05,GO:0098651,CellularComponent
8.643863970753753e-05,GO:0008043,CellularComponent
8.625389341173682e-05,GO:0070435,CellularComponent
8.56912309347201e-05,GO:0005893,CellularComponent
8.389504894221123e-05,GO:0071751,CellularComponent
8.054135280650645e-05,GO:0005825,CellularComponent
7.920706425296974e-05,GO:0035517,CellularComponent
7.755533040442051e-05,GO:0005943,CellularComponent
7.546626387885887e-05,GO:0099629,CellularComponent
7.203364599940858e-05,GO:0032301,CellularComponent
7.078501149143756e-05,GO:0038039,CellularComponent
6.832074653513058e-05,GO:0031265,CellularComponent
6.775402322468228e-05,GO:1904090,CellularComponent
6.749358109896975e-05,GO:0097651,CellularComponent
6.555808608390175e-05,GO:0030112,CellularComponent
6.513023206645097e-05,GO:0043293,CellularComponent
6.489184624982424e-05,GO:0000333,CellularComponent
6.276097137778778e-05,GO:0070110,CellularComponent
0.0002712612861112329,CHEMBL599735,Compound
0.00025746495393405664,CHEMBL3545221,Compound
0.0002211387078962302,CHEMBL3104241,Compound
0.0002096660511347085,CHEMBL267841,Compound
0.00020814655828828394,CHEMBL3545087,Compound
0.0002001184096903311,CHEMBL93218,Compound
0.00019259374926656258,CHEMBL317777,Compound
0.00018999812289921474,CHEMBL2181742,Compound
0.0001794307310184215,CHEMBL2337018,Compound
0.00017027409114325217,CHEMBL2181704,Compound
0.00016595719668308293,CHEMBL2103838,Compound
0.00016595129550042744,CHEMBL302628,Compound
0.00015950556784598516,CHEMBL3544968,Compound
0.0001533078133710356,CHEMBL2158321,Compound
0.00015201529320931238,CHEMBL42176,Compound
0.0001485496351538184,CHEMBL209516,Compound
0.00014608459880413087,CHEMBL44746,Compound
0.00014564810521993743,CHEMBL2071021,Compound
0.00014529194785671933,CHEMBL486336,Compound
0.00014481668721465414,CHEMBL2336323,Compound
0.0008046092269347885,DOID:9975,Disease
0.0007664706238363974,DOID:809,Disease
0.00046273738473754793,DOID:302,Disease
0.0004083298869530293,DOID:0060166,Disease
0.0003750077322633831,DOID:1849,Disease
0.00032497753949457917,DOID:9505,Disease
0.0003186095089791145,DOID:6680,Disease
0.00029945910792672037,DOID:0050742,Disease
0.00029065697057656473,DOID:303,Disease
0.0002807764376262295,DOID:778,Disease
0.000277574839445903,DOID:0070089,Disease
0.00027140116006615076,DOID:0050741,Disease
0.00027038358703079807,DOID:3488,Disease
0.0002697618738260376,DOID:631,Disease
0.0002685892346347249,DOID:5419,Disease
0.0002629570160708817,DOID:0070091,Disease
0.00025626712160193037,DOID:3312,Disease
0.00025600421245674387,DOID:1019,Disease
0.0002509112318479894,DOID:11718,Disease
0.0002423837727854727,DOID:0070093,Disease
0.0005611403943499709,339778,Gene
0.0005395284207621205,339512,Gene
0.0004617945269615265,286052,Gene
0.0003999999855357929,399949,Gene
0.0003844251941589461,389763,Gene
0.000352184241215622,10998,Gene
0.0003383002130829768,116138,Gene
0.00032574269845874306,206412,Gene
0.0003133708474862347,158062,Gene
0.00030589565526980075,414919,Gene
0.00030177945318810554,2913,Gene
0.00029799461849193735,144809,Gene
0.00028360631040383154,728819,Gene
0.00027834430229494876,2578,Gene
0.0002778268748018001,389158,Gene
0.00027609627460072365,285812,Gene
0.0002672694945278987,388780,Gene
0.0002578063596272381,497661,Gene
0.0002543986892749656,56986,Gene
0.00025382871249405567,650293,Gene
0.00021760114273754806,GO:0001641,MolecularFunction
0.00021110842710704843,GO:0004951,MolecularFunction
0.0001928842490093467,GO:0031731,MolecularFunction
0.0001571211113721416,GO:0051378,MolecularFunction
