importance,node,type
0.0006629652226309112,Q9GZZ6,Protein
0.0004634099220683174,CHEMBL267841,Compound
0.0003541960692870079,CHEMBL3544968,Compound
0.0003211686551914212,CHEMBL368591,Compound
0.00031583450247865187,CHEMBL1200703,Compound
0.00030284503781327285,CHEMBL23261,Compound
0.00027832798773019525,CHEMBL3545222,Compound
0.0002781437468880843,CHEMBL3545087,Compound
0.0002781097218832835,283454,Gene
0.0002765133733468605,Q9UGM1,Protein
0.0002689074009884359,CHEMBL3545168,Compound
0.00026637596007726173,DB08944,Compound
0.0002629276940892272,CHEMBL3039518,Compound
0.0002534523317004136,CHEMBL454767,Compound
0.00024807786552467697,CHEMBL1094785,Compound
0.0002396323245367022,CHEMBL217899,Compound
0.00023885076119778794,Q9BZW2,Protein
0.00023427152286323416,CHEMBL238979,Compound
0.00022917562474539512,Q14207,Protein
0.00022830307842322512,Q6W3E5,Protein
0.0002248370934039582,CHEMBL2178570,Compound
0.00022320053003944588,CHEMBL1696,Compound
0.0002177864609020242,CHEMBL3039524,Compound
0.00021404758081124394,CHEMBL2106170,Compound
0.0002121843021430805,CHEMBL281030,Compound
0.00021112064254743583,CHEMBL475903,Compound
0.00020969623392699802,D058646,PharmacologicClass
0.0002090356268165305,F8WC51,Protein
0.00020747132376117632,CHEMBL1200332,Compound
0.00020534848022591722,CHEMBL1742420,Compound
0.00020310590236651119,CHEMBL313203,Compound
0.00020195031723724348,A6NFE2,Protein
0.000200697749393494,D018691,PharmacologicClass
0.0001986403361065304,CHEMBL3545272,Compound
0.0001984756412401239,DB00723,Compound
0.00019498004017521394,55025,Gene
0.00019436444701307305,CHEMBL2205245,Compound
0.0001928811833252133,CHEMBL2178579,Compound
0.00019114498682283086,CHEMBL1940832,Compound
0.00018921879018163215,DB00391,Compound
0.0001889495183433311,CHEMBL184332,Compound
0.00018719537870779142,CHEMBL583047,Compound
0.0001869294562489081,CHEMBL3298234,Compound
0.00018683655504973245,DOID:11981,Disease
0.0001868230430221624,D018683,PharmacologicClass
0.00018529145845463523,O15054,Protein
0.00018518817264774406,Q8TC17,Protein
0.00018411783951178629,CHEMBL182003,Compound
0.0001830684119329906,Q8NFN8,Protein
0.00018119932050574081,CHEMBL1760583,Compound
0.0001802545436324979,CHEMBL2151817,Compound
0.0001802372799410583,CHEMBL1200765,Compound
0.0001774801979236131,CHEMBL184809,Compound
0.00017703719056837584,CHEMBL192321,Compound
0.00017499929007967898,DB09000,Compound
0.00017405403872620487,CHEMBL2016681,Compound
0.00017373495182907968,CHEMBL74281,Compound
0.00017373357302658194,CHEMBL3299117,Compound
0.00017355645392359506,CHEMBL1256696,Compound
0.00017284181902663579,CHEMBL1714,Compound
0.00017037286953605336,CHEMBL1255743,Compound
0.0001674860335547297,CHEMBL3260491,Compound
0.0001671994388296385,A6NHJ4,Protein
0.00016648909988211356,CHEMBL12089,Compound
0.00016500414559593565,GO:0086092,BiologicalProcess
0.00016346109787074065,CHEMBL299683,Compound
0.00016246541545296674,CHEMBL2071018,Compound
0.0001610015978926973,CHEMBL241120,Compound
0.0001605781960863251,CHEMBL1940538,Compound
0.0001605561625663695,CHEMBL418328,Compound
0.00015999240457401475,CHEMBL26260,Compound
0.0001596241027993177,CHEMBL1644131,Compound
0.0001593288139121128,CHEMBL1963280,Compound
0.0001583344705841732,GO:1901876,BiologicalProcess
0.00015730724269692146,CHEMBL2349341,Compound
0.00015632940152484614,CHEMBL2105527,Compound
0.00015603409947315388,Q9UDX3,Protein
0.00015504994333986167,DOID:2983,Disease
0.00015425083683378094,CHEMBL3228343,Compound
0.00015417073087471597,CHEMBL2071150,Compound
0.00015396621794370568,CHEMBL2071035,Compound
0.00015341554523976434,CHEMBL1692,Compound
