importance,node,type
0.0052276638925410615,A2A368,Protein
0.005007471886906834,CHEMBL2146121,Compound
0.004730737688344172,DB00704,Compound
0.0034105200138543792,CHEMBL1830698,Compound
0.003266841114238027,CHEMBL1209746,Compound
0.0032290198459115796,CHEMBL2023472,Compound
0.0030870872649561543,CHEMBL2086474,Compound
0.002799138888115442,Q9ULK0,Protein
0.002758847746975686,Q8TE76,Protein
0.002507495843307569,Q93009,Protein
0.0024033410550098277,O43688,Protein
0.0023718820635470453,P02708,Protein
0.002371613435103363,CHEMBL3234765,Compound
0.002128165464336656,CHEMBL1760610,Compound
0.002089815875117622,Q8IZ26,Protein
0.001973981413467276,CHEMBL511439,Compound
0.0019336662021119104,CHEMBL1806511,Compound
0.0019117915193994288,CHEMBL1807792,Compound
0.0019064718646970914,CHEMBL1760612,Compound
0.0018995162874689611,CHEMBL1807812,Compound
0.001875565293190504,CHEMBL1213899,Compound
0.0018380134432864747,CHEMBL1631858,Compound
0.001819552924532793,CHEMBL1830911,Compound
0.001808513017723399,CHEMBL1774913,Compound
0.0018047438632147529,CHEMBL1738803,Compound
0.0017995416131538066,CHEMBL578129,Compound
0.0017871532231063718,CHEMBL1209662,Compound
0.001780342361190929,CHEMBL2332356,Compound
0.0017748835046395546,CHEMBL568252,Compound
0.0017679090779467773,CHEMBL1774832,Compound
0.0017640669453317557,CHEMBL2204443,Compound
0.001754285022663012,CHEMBL1939379,Compound
0.0017505005587041126,CHEMBL1830707,Compound
0.0017381050358518343,Q9BTC8,Protein
0.0017352716463064559,CHEMBL198726,Compound
0.0017294699244996365,CHEMBL405895,Compound
0.0017267962384260884,CHEMBL32976,Compound
0.0017266822537069617,CHEMBL168011,Compound
0.0017266327827185053,CHEMBL540427,Compound
0.0017138231103545553,CHEMBL1922727,Compound
0.001712911164991942,CHEMBL1830703,Compound
0.0017126574587922384,CHEMBL1830705,Compound
0.001706564433733461,CHEMBL362006,Compound
0.001705373271807497,CHEMBL1783876,Compound
0.0017046851916448188,CHEMBL192937,Compound
0.0017003029478765228,CHEMBL200977,Compound
0.0016997143661277871,Q14061,Protein
0.0016939297801951113,CHEMBL253062,Compound
0.0016901010759370503,Q8NEZ4,Protein
0.0016792792212016992,CHEMBL1209516,Compound
0.0016777783118738512,CHEMBL2204440,Compound
0.0016700572272619675,CHEMBL73698,Compound
0.001664123800235459,CHEMBL1223085,Compound
0.0016617083166472692,CHEMBL1629855,Compound
0.001658107006999454,CHEMBL1921951,Compound
0.0016578194246201618,CHEMBL435273,Compound
0.0016575017658828663,CHEMBL2386127,Compound
0.001653603527416412,CHEMBL1909436,Compound
0.0016526347783477982,CHEMBL1223162,Compound
